teamId,conference,seed
1181,W,01
1104,W,02
1458,W,03
1112,W,04
1332,W,05
1140,W,06
1388,W,07
1280,W,08
1124,W,09
1435,W,10
1433,W,11
1251,W,12
1103,W,13
1285,W,14
1352,W,15
1110,W,16a
1291,W,16b
1222,X,01
1397,X,02
1246,X,03
1345,X,04
1155,X,05
1228,X,06
1417,X,07
1211,X,08
1208,X,09
1429,X,10
1400,X,11a
1462,X,11b
1270,X,12
1219,X,13
1407,X,14
1459,X,15
1188,X,16
1120,Y,01
1277,Y,02
1235,Y,03
1401,Y,04
1276,Y,05
1279,Y,06
1266,Y,07
1257,Y,08
1166,Y,09
1307,Y,10
1314,Y,11a
1361,Y,11b
1471,Y,12
1463,Y,13
1252,Y,14
1136,Y,15
1106,Y,16a
1384,Y,16b
1196,Z,01
1385,Z,02
1403,Z,03
1268,Z,04
1272,Z,05
1281,Z,06
1242,Z,07
1163,Z,08
1328,Z,09
1116,Z,10
1179,Z,11
1161,Z,12
1213,Z,13
1423,Z,14
1303,Z,15
1313,Z,16
